"Copyright © 2017 BRTDATA.ORG - Downloaded on 2017/11/05";"";"";"";"";""
"";"";"";"";"";""
"Worldwide - Key Indicators per Region";"";"";"";"";""
"Regions";"Passengers per Day";"Number of Cities";"Length (km)";"";""
"Total cost per kilometer (US$ million per km)";"System cost";"";"";"";""
"Planning cost (US$ million)";"System cost";"";"";"";""
"Capital cost per kilometer (US$ million per km)";"System cost";"";"";"";""
"Infrastructure cost per kilometer (US$ million per km)";"System cost";"";"";"";""
"Equipment cost (US$ million)";"System cost";"";"";"";""
"Annual operational cost (US$ million)";"System cost";"";"";"";""
"User rating";"System image";"";"";"";""
"Brand and logo";"System image";"Yes";"2011";"www.myciti.org.za";""
"Unique bus livery";"System image";"Yes";"2011";"www.myciti.org.za";""
"Citywide annual road fatalities";"System road safety";"";"";"";""
"Citywide annual injuries";"System road safety";"";"";"";""
"";"";"";"";"";""
"Cape Town - Corridor Indicators - T01";"";"";"";"";""
"Indicator";"Category";"Value";"Date";"Source";""
"Corridor Name";"Corridor info";"T01";"";"MyCiti";""
"Year corridor commenced";"Corridor info";"2011";"";"http://www.capetown.gov.za/en/irt/Pages/default.aspx";""
"Corridor service";"Corridor info";"Trunk lines with feeder routes";"2015";"MyCiti";""
"Peak load, corridor (passengers per hour per direction)";"Corridor info";"";"";"";""
"Daily demand, corridor (passengers per day)";"Corridor info";"20,000";"2013";"http://www.citylab.com/commute/2013/03/limits-bus-rapid-transit-cape-town-case-study/4968/";""
"Trunk lines, corridor";"Corridor info";"4";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Corridor length (km)";"Running ways";"23,50";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Length of segregated lanes, corridor (km)";"Running ways";"";"";"";""
"Length of segregated counterflow lanes, corridor (km)";"Running ways";"";"";"";""
"Length of exclusive lanes, corridor (km)";"Running ways";"";"";"";""
"Mixed traffic with-flow length, corridor (km)";"Running ways";"";"";"";""
"Position of with-flow lanes, corridor";"Running ways";"Median";"2017";"Google Maps";""
"Position of counterflow lanes, corridor";"Running ways";"";"";"";""
"Position of bus doors, corridor";"Running ways";"Left & Right";"2011";"MyCiti";""
"Lane material on running ways, corridor";"Running ways";"Asphalt";"2017";"Google Maps";""
"Lane material at stations, corridor";"Running ways";"";"";"";""
"Grade-separated intersections, corridor";"Traffic engineering";"Partial";"";"";""
"Fixed signal priority";"Traffic engineering";"";"";"";""
"Dynamic signal priority";"Traffic engineering";"";"";"";""
"Stations, corridor";"Stations";"24";"2017";"http://myciti.org.za/en/routes/interactive-routes/";""
"Station spacing, corridor (m)";"Stations";"979,2";"";"Calculated using corridor length and stations";""
"Enhanced stations";"Stations";"Yes";"2017";"http://myciti.org.za/en/stations-stops/about-stations-stops/";""
"Pre-board fare collection, corridor";"Stations";"All";"2014";"https://www.itdp.org/wp-content/uploads/2014/07/BRT-Standard-20141.pdf";""
"Overtaking lanes, corridor";"Stations";"";"";"";""
"Station boarding level, corridor";"Stations";"High-level platform";"2017";"https://myciti.org.za/en/stations-stops/station-stop-information";""
"Type of bus guidance";"ITS";"";"";"";""
